number,value,datetime_start,datetime_complete,duration,params_augment_percent,params_embedding_dim,params_hidden_dim,params_learning_rate,params_temperature,state
29,3.779225170612335,2024-10-31 00:30:15.622559,2024-10-31 00:37:14.465855,0 days 00:06:58.843296,17,105,180,0.0010521437230865377,0.2338248439287443,COMPLETE
30,3.925090308700289,2024-10-31 00:37:14.475601,2024-10-31 00:43:55.986334,0 days 00:06:41.510733,21,125,121,0.0018570582608924743,0.2857714825552274,COMPLETE
31,3.3937255269515196,2024-10-31 00:43:55.995410,2024-10-31 00:50:45.791991,0 days 00:06:49.796581,24,77,151,0.0047672591411584905,0.11869036587237058,COMPLETE
32,3.3647728988767733,2024-10-31 00:50:45.801991,2024-10-31 00:57:35.893177,0 days 00:06:50.091186,24,88,153,0.004648580598950237,0.121098778565191,COMPLETE
33,3.543710862552481,2024-10-31 00:57:35.906475,2024-10-31 01:04:34.653010,0 days 00:06:58.746535,24,252,185,0.004777280899812418,0.1582426950395729,COMPLETE
34,3.3841226430210685,2024-10-31 01:04:34.667016,2024-10-31 01:11:04.137113,0 days 00:06:29.470097,24,87,80,0.006104034219573861,0.13068858727522076,COMPLETE
35,3.4756923764944077,2024-10-31 01:11:04.146907,2024-10-31 01:17:30.608936,0 days 00:06:26.462029,25,93,70,0.005849890825802374,0.1354064006329622,COMPLETE
36,3.5684773091759,2024-10-31 01:17:30.617277,2024-10-31 01:24:03.705226,0 days 00:06:33.087949,22,87,90,0.007929068876624153,0.19782115917088883,COMPLETE
37,3.4454937394309257,2024-10-31 01:24:03.719669,2024-10-31 01:30:43.443246,0 days 00:06:39.723577,20,126,109,0.006320387372910466,0.15077032165352683,COMPLETE
38,4.081023597291538,2024-10-31 01:30:43.453041,2024-10-31 01:37:09.962155,0 days 00:06:26.509114,24,71,69,0.0037587113815182385,0.33316971866784384,COMPLETE
39,3.4318713745368377,2024-10-31 01:37:09.970865,2024-10-31 01:43:49.641890,0 days 00:06:39.671025,23,70,126,0.007929376437654642,0.11784634933121718,COMPLETE
40,4.408666110464504,2024-10-31 01:43:49.653164,2024-10-31 01:50:23.995624,0 days 00:06:34.342460,13,45,82,0.005368769892800648,0.39566690693733586,COMPLETE
41,3.4357562448466132,2024-10-31 01:50:24.005402,2024-10-31 01:57:11.571663,0 days 00:06:47.566261,24,79,151,0.004461471397861573,0.11423479781186452,COMPLETE
42,3.396341177368803,2024-10-31 01:57:11.580891,2024-10-31 02:04:02.475560,0 days 00:06:50.894669,25,99,153,0.004932955610376239,0.13154211054303533,COMPLETE
43,3.4816490366522754,2024-10-31 02:04:02.484931,2024-10-31 02:10:56.412122,0 days 00:06:53.927191,23,143,171,0.004242534660743091,0.11208344201851433,COMPLETE
44,3.429796386909272,2024-10-31 02:10:56.426278,2024-10-31 02:17:34.453347,0 days 00:06:38.027069,24,66,107,0.003557457979489929,0.15096256366059638,COMPLETE
45,3.474576910891171,2024-10-31 02:17:34.463306,2024-10-31 02:24:16.294856,0 days 00:06:41.831550,21,113,128,0.0025859704914221004,0.1718213539703885,COMPLETE
46,3.6397364281250963,2024-10-31 02:24:16.304217,2024-10-31 02:31:25.998256,0 days 00:07:09.694039,10,179,201,0.005215350550236723,0.14097064685815347,COMPLETE
47,3.6217665502003262,2024-10-31 02:31:26.007266,2024-10-31 02:38:35.187408,0 days 00:07:09.180142,22,78,221,0.00655044784215497,0.11247144785585543,COMPLETE
48,3.59490447198706,2024-10-31 02:38:35.196200,2024-10-31 02:44:58.304128,0 days 00:06:23.107928,25,96,53,0.00457451147352245,0.18654334548611687,COMPLETE
49,3.5420618225554272,2024-10-31 02:44:58.322505,2024-10-31 02:51:48.876178,0 days 00:06:50.553673,19,39,156,0.006218307565572225,0.16234525967928298,COMPLETE
50,3.405272993824578,2024-10-31 02:51:48.885747,2024-10-31 02:59:09.138671,0 days 00:07:20.252924,16,91,253,0.004201200086930008,0.13163533273165212,COMPLETE
51,3.4002523795435473,2024-10-31 02:59:09.147619,2024-10-31 03:06:01.699474,0 days 00:06:52.551855,25,119,161,0.005016774426110823,0.1296247204252571,COMPLETE
52,3.8003056099904433,2024-10-31 03:06:01.708636,2024-10-31 03:12:49.333740,0 days 00:06:47.625104,24,64,149,0.00547267385795216,0.10971384975300556,COMPLETE
53,3.4205472614350065,2024-10-31 03:12:49.342967,2024-10-31 03:19:34.508209,0 days 00:06:45.165242,23,103,136,0.007603849722675795,0.14805679613692563,COMPLETE
54,3.364731155069811,2024-10-31 03:19:34.516670,2024-10-31 03:26:28.004473,0 days 00:06:53.487803,24,100,170,0.00726003123689025,0.10196508709329076,COMPLETE
55,3.417174114978739,2024-10-31 03:26:28.018331,2024-10-31 03:33:24.699639,0 days 00:06:56.681308,24,51,171,0.007532797319527044,0.10042614929630923,COMPLETE
56,3.384449006656983,2024-10-31 03:33:24.713109,2024-10-31 03:40:23.706448,0 days 00:06:58.993339,23,76,188,0.005982359285466868,0.11892473883762374,COMPLETE
57,3.3646462027806723,2024-10-31 03:40:23.720028,2024-10-31 03:47:22.726293,0 days 00:06:59.006265,23,136,194,0.008789258986258132,0.10611490271988012,COMPLETE
58,3.3102414231813913,2024-10-31 03:47:22.740770,2024-10-31 03:54:23.352179,0 days 00:07:00.611409,22,132,192,0.009839576198216467,0.1257036065014992,COMPLETE
59,3.3719314004161527,2024-10-31 03:54:23.360613,2024-10-31 04:01:29.133199,0 days 00:07:05.772586,21,162,209,0.009261138981137965,0.14421042980861676,COMPLETE
60,3.346794710918662,2024-10-31 04:01:29.146681,2024-10-31 04:08:36.203983,0 days 00:07:07.057302,21,169,214,0.00999813930730126,0.14206159471128946,COMPLETE
61,3.351584567156221,2024-10-31 04:08:36.213707,2024-10-31 04:15:46.177240,0 days 00:07:09.963533,21,170,218,0.009823339304100807,0.14747073213677778,COMPLETE
62,3.394749375592385,2024-10-31 04:15:46.190107,2024-10-31 04:22:57.394491,0 days 00:07:11.204384,22,203,223,0.009561878843808675,0.15806110504881601,COMPLETE
63,3.3351722322404385,2024-10-31 04:22:57.403334,2024-10-31 04:30:11.744935,0 days 00:07:14.341601,20,170,234,0.009946657439059972,0.10773116752657877,COMPLETE
64,3.325305897110541,2024-10-31 04:30:11.761941,2024-10-31 04:37:25.114959,0 days 00:07:13.353018,20,173,235,0.009931564078064323,0.10515531094056642,COMPLETE
65,3.352609407755413,2024-10-31 04:37:25.127191,2024-10-31 04:44:37.367631,0 days 00:07:12.240440,20,173,236,0.009987093557534786,0.11098418899283906,COMPLETE
66,3.3281006101419086,2024-10-31 04:44:37.377339,2024-10-31 04:51:50.865537,0 days 00:07:13.488198,19,177,237,0.009937915205058842,0.13873349483809588,COMPLETE
67,3.364981670448157,2024-10-31 04:51:50.876690,2024-10-31 04:59:05.502200,0 days 00:07:14.625510,19,174,238,0.00999242426166529,0.16999584036127838,COMPLETE
68,3.3840409050608287,2024-10-31 04:59:05.518913,2024-10-31 05:06:19.329361,0 days 00:07:13.810448,19,153,236,0.00860032644972916,0.14052372526889556,COMPLETE
69,3.4270629920065403,2024-10-31 05:06:19.338183,2024-10-31 05:13:33.737902,0 days 00:07:14.399719,18,176,231,0.009378630332605838,0.181468115268129,COMPLETE
