number,value,datetime_start,datetime_complete,duration,params_augment_percent,params_embedding_dim,params_hidden_dim,params_learning_rate,params_temperature,state
0,4.200589535491807,2024-10-30 21:12:19.868395,2024-10-30 21:19:00.157751,0 days 00:06:40.289356,16,215,197,0.0042629568910837684,0.36040095996392074,COMPLETE
1,4.061746521719864,2024-10-30 21:19:00.170357,2024-10-30 21:25:25.909667,0 days 00:06:25.739310,20,232,79,0.009794771755123761,0.32254829422382225,COMPLETE
2,4.166969986898558,2024-10-30 21:25:25.922066,2024-10-30 21:32:36.952391,0 days 00:07:11.030325,12,225,200,0.008869146600304452,0.3610434160165764,COMPLETE
3,3.6420432566498806,2024-10-30 21:32:36.962289,2024-10-30 21:39:59.222663,0 days 00:07:22.260374,12,115,210,0.0032624115027725478,0.14531808086442682,COMPLETE
4,3.5480746467198645,2024-10-30 21:39:59.235748,2024-10-30 21:47:17.574934,0 days 00:07:18.339186,11,100,208,0.000820879238568958,0.14887185459368402,COMPLETE
5,3.7550120151468684,2024-10-30 21:47:17.583418,2024-10-30 21:54:21.848023,0 days 00:07:04.264605,18,72,166,0.007013701017186465,0.2245790947586186,COMPLETE
6,4.244812039392335,2024-10-30 21:54:21.857378,2024-10-30 22:01:37.734183,0 days 00:07:15.876805,21,195,223,0.002214355167732161,0.3786678484040843,COMPLETE
7,3.706237960074629,2024-10-30 22:01:37.744502,2024-10-30 22:08:42.661223,0 days 00:07:04.916721,11,142,165,0.004771106534995796,0.12281108961150736,COMPLETE
8,3.43532330808895,2024-10-30 22:08:42.670467,2024-10-30 22:15:09.204245,0 days 00:06:26.533778,23,163,52,0.009664992003580444,0.104088850489301,COMPLETE
9,3.928084741745676,2024-10-30 22:15:09.214388,2024-10-30 22:21:57.774024,0 days 00:06:48.559636,24,190,119,0.009148731114959242,0.31170817149184216,COMPLETE
10,3.8958981207438876,2024-10-30 22:21:57.783261,2024-10-30 22:28:21.546740,0 days 00:06:23.763479,25,35,36,0.006945180607027419,0.21692955403842212,COMPLETE
11,3.9238501957484653,2024-10-30 22:28:21.555843,2024-10-30 22:35:45.069738,0 days 00:07:23.513895,15,114,247,0.0013060028434944552,0.1686998856391957,COMPLETE
12,3.5616031970405726,2024-10-30 22:35:45.078833,2024-10-30 22:42:29.559207,0 days 00:06:44.480374,22,157,109,0.0003402121827533588,0.10111675686656785,COMPLETE
13,3.7077576045079956,2024-10-30 22:42:29.568399,2024-10-30 22:49:08.961263,0 days 00:06:39.392864,14,94,42,0.006812957102376154,0.17827096154075311,COMPLETE
14,3.8731793335505893,2024-10-30 22:49:08.972892,2024-10-30 22:55:57.598823,0 days 00:06:48.625931,18,158,78,0.005848733581680771,0.27171899843599273,COMPLETE
15,3.4243523116882506,2024-10-30 22:55:57.608962,2024-10-30 23:03:00.232992,0 days 00:07:02.624030,23,57,142,0.003108237620172062,0.10171641331651547,COMPLETE
16,3.3613632197167527,2024-10-30 23:03:00.241717,2024-10-30 23:09:52.311488,0 days 00:06:52.069771,23,37,134,0.0031073781347623407,0.1024614783939214,COMPLETE
17,3.727226578763553,2024-10-30 23:09:52.326020,2024-10-30 23:16:37.398332,0 days 00:06:45.072312,20,32,136,0.0029590639405977868,0.19654407358657938,COMPLETE
18,3.798017007963998,2024-10-30 23:16:37.412332,2024-10-30 23:23:29.478026,0 days 00:06:52.065694,25,66,164,0.003924676430865761,0.26050237088157197,COMPLETE
19,3.4860425542324913,2024-10-30 23:23:29.487132,2024-10-30 23:30:05.572587,0 days 00:06:36.085455,23,57,102,0.0023764405558918695,0.14020626744107165,COMPLETE
20,3.6825901440211704,2024-10-30 23:30:05.582489,2024-10-30 23:36:53.742390,0 days 00:06:48.159901,20,53,142,0.005658604598139761,0.17731568745436838,COMPLETE
21,3.3934857294807443,2024-10-30 23:36:53.755890,2024-10-30 23:43:30.223739,0 days 00:06:36.467849,23,81,97,0.0019785748852507302,0.10505804741920104,COMPLETE
22,3.784578800201416,2024-10-30 23:43:30.232488,2024-10-30 23:50:02.476056,0 days 00:06:32.243568,22,80,88,0.001993231047807165,0.12219173745243977,COMPLETE
23,3.4744891779763356,2024-10-30 23:50:02.485203,2024-10-30 23:56:43.346459,0 days 00:06:40.861256,23,45,120,0.0033431532565134257,0.10044789781829946,COMPLETE
24,3.4673859583480016,2024-10-30 23:56:43.354670,2024-10-31 00:03:28.275225,0 days 00:06:44.920555,25,84,135,0.0015031495311068665,0.13814540733920933,COMPLETE
25,3.975236424910171,2024-10-31 00:03:28.284132,2024-10-31 00:10:27.058752,0 days 00:06:58.774620,19,130,181,1.4626715417388747e-05,0.1600712672876155,COMPLETE
26,3.433496612689591,2024-10-31 00:10:27.067380,2024-10-31 00:16:51.734495,0 days 00:06:24.667115,22,58,60,0.00398193596807267,0.12476022811962406,COMPLETE
27,3.6176815384200642,2024-10-31 00:16:51.743156,2024-10-31 00:23:25.405546,0 days 00:06:33.662390,24,44,96,0.0027830633280042536,0.1990075797205697,COMPLETE
28,3.422778587588774,2024-10-31 00:23:25.414252,2024-10-31 00:30:15.613612,0 days 00:06:50.199360,21,108,153,0.0016281786821003325,0.12161626775686211,COMPLETE
